41.283_ph,"Vasily Kandinsky, Several Circles, January–February 1926. Oil on canvas. 55 1/4 x 55 3/8 inches (140.3 x 140.7 cm). Solomon R. Guggenheim Museum, New York Solomon R. Guggenheim Founding Collection, By gift. © 2016 Artists Rights Society (ARS), New York/ADAGP, Paris"
53.1332_ph_web,"Constantin Brancusi Little French Girl (The First Step [III]) ca. 1914–18 (mounted by museum, 1953) Oak on pine base figure: 49 x 9 3/8 x 9 1/4 inches (124.5 x 23.8 x 23.5 cm); base: 11 x 15 1/4 x 13 inches (27.9 x 38.7 x 33 cm) Solomon R. Guggenheim Museum, New York Gift, Estate of Katherine S. Dreier, 1953 53.1332 © 2016 Artists Rights Society (ARS), New York/ADAGP, Paris"
58.1513_ph,"Aristide Maillol, Pomona with Lowered Arms (Pomone aux bras tombants), 1937. © Solomon R. Guggenheim Foundation, New York. All Rights Reserved."
65.1783_ph,"Voy Fangor, New Jersey 5, 1965. © Solomon R. Guggenheim Foundation, New York. All Rights Reserved."
67.1859.2_ph,"Richard Hamilton, The Solomon R. Guggenheim (Black and White), 1965–66. © Solomon R. Guggenheim Foundation, New York. All Rights Reserved."
68.1874_ph,"Jo Baer, Horizontals Flanking, Large, Green Line, 1966. © Solomon R. Guggenheim Foundation, New York. All Rights Reserved."
70.1934_ph,"John McCracken, Blue Plank, 1969. © Solomon R. Guggenheim Foundation, New York. All Rights Reserved."
75.2191_ph08,"John Chamberlain Mannabend Ra, 1997. © Solomon R. Guggenheim Foundation, New York. All Rights Reserved."
76.2553.229,"Günther Uecker, Tactile Rotating Structure, 1961. © The Solomon R. Guggenheim Foundation Peggy Guggenheim Collection, Venice, 1976"
78.2439_ph,"Fred Eversley, Untitled, 1972. © Solomon R. Guggenheim Foundation, New York. All Rights Reserved."
79.2559_ph,"William Tucker, An Ellipse, 1978. © Solomon R. Guggenheim Foundation, New York. All Rights Reserved."
89.3647_ph,"Henri Michaux Untitled, n.d. © Solomon R. Guggenheim Foundation, New York. All Rights Reserved."
91.3771_ph_web,"Robert Mangold, Circle In and Out of a Polygon 2, 1973, © Solomon R. Guggenheim Foundation, New York. All Rights Reserved."
92.4113_ph_web_extended,"Dan Flavin, untitled (to Henri Matisse), 1964. © Solomon R. Guggenheim Museum, New York Panza Collection, Gift, 1992"
93.4225_ph,"Piero Manzoni, Achrome, 1962. Wrinkled canvas. 19 3/4 x 23 3/4 inches (50.2 x 60.3 cm). Solomon R. Guggenheim Foundation Hannelore B. and Rudolph B. Schulhof Collection, bequest of Hannelore B. Schulhof, 2012. © 2016 Artists Rights Society (ARS), New York / SIAE, Rome"
93.4304_ph_web,"Robert Mapplethorpe, Thomas, 1987. © Solomon R. Guggenheim Foundation, New York. All Rights Reserved"
